State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,State_Abbr,Population_2010
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2011-04-18,Parts per billion,10.9125,28.1,5,26,Parts per million,0.023542,0.032,7,27,Parts per billion,0.15,0.5,2,,Parts per million,0.2,0.2,0,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2007-03-18,Parts per billion,15.428571,45.0,3,42,Parts per million,0.0335,0.05,10,42,Parts per billion,4.791667,20.0,22,29.0,Parts per million,0.3875,0.4,0,5.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2008-03-07,Parts per billion,11.375,21.0,10,20,Parts per million,0.022875,0.032,17,27,Parts per billion,2.871429,10.8,11,,Parts per million,0.284348,0.33,6,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2005-03-01,Parts per billion,20.083333,39.0,1,37,Parts per million,0.027167,0.036,11,31,Parts per billion,12.342857,17.6,17,,Parts per million,0.416667,0.5,8,6.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2006-12-17,Parts per billion,14.761905,30.0,17,28,Parts per million,0.019833,0.027,9,23,Parts per billion,1.791667,4.0,15,6.0,Parts per million,0.070833,0.4,17,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2015-07-06,Parts per billion,6.770833,10.4,4,9,Parts per million,0.009958,0.018,9,17,Parts per billion,0.466667,0.6,8,0.0,Parts per million,0.132083,0.27,5,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2016-03-16,Parts per billion,10.740909,23.0,20,22,Parts per million,0.019167,0.037,9,34,Parts per billion,0.116667,0.2,4,0.0,Parts per million,0.223182,0.27,5,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2009-01-02,Parts per billion,15.458333,28.0,6,26,Parts per million,0.010167,0.016,9,14,Parts per billion,2.178261,4.5,0,6.0,Parts per million,0.258333,0.3,0,3.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2009-05-16,Parts per billion,14.625,26.0,0,25,Parts per million,0.019958,0.031,11,26,Parts per billion,1.875,4.5,11,,Parts per million,0.2125,0.3,0,3.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2000-09-15,Parts per billion,21.75,45.0,5,42,Parts per million,0.045792,0.065,9,67,Parts per billion,8.0625,16.0,14,,Parts per million,0.866667,1.2,0,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2015-10-26,Parts per billion,4.691667,8.0,20,8,Parts per million,0.020542,0.026,8,24,Parts per billion,0.016667,0.1,16,0.0,Parts per million,0.154167,0.2,6,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2011-01-07,Parts per billion,15.529167,28.7,0,26,Parts per million,0.031708,0.044,10,37,Parts per billion,1.528571,2.0,17,,Parts per million,0.2,0.2,0,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2012-10-13,Parts per billion,11.595833,26.4,3,25,Parts per million,0.031292,0.048,9,41,Parts per billion,0.4,2.8,3,3.0,Parts per million,0.255833,0.37,5,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2015-08-15,Parts per billion,5.358333,14.0,0,13,Parts per million,0.033958,0.051,9,47,Parts per billion,2.925,3.5,8,,Parts per million,0.226667,0.46,0,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2009-07-30,Parts per billion,8.791667,13.0,5,12,Parts per million,0.007208,0.015,9,13,Parts per billion,0.225,0.3,5,,Parts per million,0.154167,0.2,6,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2004-05-28,Parts per billion,13.916667,22.0,3,21,Parts per million,0.019833,0.033,11,28,Parts per billion,0.228571,1.0,5,,Parts per million,0.475,0.5,6,6.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2013-11-06,Parts per billion,11.063636,20.5,18,19,Parts per million,0.018917,0.026,7,24,Parts per billion,0.004167,0.1,23,0.0,Parts per million,0.209091,0.4,18,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2014-09-16,Parts per billion,11.6125,23.4,0,22,Parts per million,0.022083,0.04,8,37,Parts per billion,0.671429,0.9,5,,Parts per million,0.252083,0.39,5,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2005-10-07,Parts per billion,15.541667,21.0,22,20,Parts per million,0.020083,0.03,12,25,Parts per billion,15.608696,57.0,23,77.0,Parts per million,0.5875,0.6,0,7.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2010-07-30,Parts per billion,8.208333,21.0,22,20,Parts per million,0.020958,0.035,10,30,Parts per billion,0.014286,0.1,17,,Parts per million,0.147826,0.23,5,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2012-11-11,Parts per billion,6.614286,16.1,5,15,Parts per million,0.035125,0.046,9,39,Parts per billion,0.0375,0.2,5,,Parts per million,0.144444,0.2,0,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2002-05-15,Parts per billion,15.347826,28.0,5,26,Parts per million,0.046708,0.071,9,87,Parts per billion,0.914286,1.6,8,,Parts per million,0.575,0.8,0,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2001-03-15,Parts per billion,16.045455,32.0,6,30,Parts per million,0.035917,0.054,11,46,Parts per billion,7.681818,21.0,10,30.0,Parts per million,0.766667,1.2,9,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2000-09-13,Parts per billion,14.333333,26.0,15,25,Parts per million,0.010917,0.023,8,19,Parts per billion,2.1,5.3,14,,Parts per million,0.916667,1.3,15,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2003-03-05,Parts per billion,19.217391,24.0,16,23,Parts per million,0.004542,0.006,13,5,Parts per billion,3.5875,6.0,11,,Parts per million,0.770833,1.0,16,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2010-07-27,Parts per billion,10.333333,19.0,5,18,Parts per million,0.012375,0.021,7,18,Parts per billion,0.008696,0.1,20,0.0,Parts per million,0.170833,0.2,1,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2015-01-07,Parts per billion,9.554545,30.9,0,28,Parts per million,0.024583,0.031,19,29,Parts per billion,2.95,6.8,5,,Parts per million,0.220833,0.3,0,3.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2014-10-05,Parts per billion,17.195238,31.1,0,29,Parts per million,0.026708,0.047,10,44,Parts per billion,2.7,4.6,11,,Parts per million,0.429524,1.09,0,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2004-10-04,Parts per billion,15.705882,25.0,5,24,Parts per million,0.032333,0.063,10,61,Parts per billion,4.6,8.0,14,,Parts per million,0.966667,1.1,7,13.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2005-01-20,Parts per billion,21.916667,39.0,7,37,Parts per million,0.018792,0.032,12,27,Parts per billion,4.171429,11.0,11,,Parts per million,0.130435,0.4,7,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2010-05-03,Parts per billion,11.833333,28.0,23,26,Parts per million,0.032,0.054,9,46,Parts per billion,1.1625,1.7,23,,Parts per million,0.247917,0.49,22,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2003-12-31,Parts per billion,23.565217,39.0,17,37,Parts per million,0.012632,0.023,9,19,Parts per billion,2.2625,3.3,23,,Parts per million,0.65,1.2,0,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2014-06-11,Parts per billion,11.222727,37.3,21,35,Parts per million,0.034667,0.054,10,50,Parts per billion,0.258333,0.5,7,0.0,Parts per million,0.2,0.2,0,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2003-07-15,Parts per billion,8.25,18.0,20,17,Parts per million,0.013125,0.028,10,24,Parts per billion,2.9,3.3,20,,Parts per million,0.55,0.6,0,7.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2012-12-10,Parts per billion,5.666667,12.5,22,11,Parts per million,0.012208,0.021,1,18,Parts per billion,1.133333,4.1,14,6.0,Parts per million,0.163333,0.22,10,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2006-12-13,Parts per billion,22.818182,45.0,17,42,Parts per million,0.007167,0.017,9,14,Parts per billion,2.541667,8.0,15,11.0,Parts per million,0.416667,1.9,21,,LA,4533372
